Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,B. Mayfield QB - CLE ,10.98,C. McCaffrey RB - CAR ,19.00,N. Chubb RB - CLE ,12.20,R. Woods WR - LA ,22.20,D. Samuel WR - SF ,13.40,T. Kelce TE - KC ,14.50,M. Ingram RB - BAL ,9.40,W. Lutz K - NO ,12.00,Saints DEF ,1.00,T. Williams WR - LV ,5.00,R. Freeman RB - DEN ,10.20,C. Kirk WR - ARI ,12.90,T. McLaurin WR - WAS ,13.70,M. Sanders RB - PHI ,8.90,D. Singletary RB - BUF ,14.80,114.68,Eli,101.66
David,10,J. Garoppolo QB - SF ,28.06,J. White RB - NE ,9.90,P. Lindsay RB - DEN ,12.50,G. Tate WR - NYG ,1.60,C. Kupp WR - LA ,12.50,G. Kittle TE - SF ,15.70,D. Montgomery RB - CHI ,6.60,M. Prater K - DET ,1.00,Rams DEF ,14.00,K. Rudolph TE - MIN ,2.10,O. Beckham WR - CLE ,4.90,J. Crowder WR - NYJ ,4.40,D. Johnson RB - HOU ,7.50,J. Goff QB - LA ,16.12,J. Samuels RB - PIT ,4.40,101.86,BRyant,131.40
Max,9,D. Brees QB - NO ,40.06,T. Gurley RB - LA ,19.30,J. Howard RB - PHI ,0.00,J. Edelman WR - NE ,20.30,W. Fuller WR - HOU ,0.00,Z. Ertz TE - PHI ,25.60,T. Coleman RB - SF ,0.60,C. Boswell K - PIT ,11.00,Packers DEF ,7.00,J. Smith-Schuster WR - PIT ,0.00,M. Williams WR - LAC ,13.30,J. Jacobs RB - LV ,0.00,K. Murray QB - ARI ,9.96,Ravens DEF ,9.00,Vikings DEF ,13.00,123.86,Kevin,93.42
Adam,6,D. Watson QB - HOU ,28.08,R. Penny RB - SEA ,2.10,S. Barkley RB - NYG ,8.20,D. Parker WR - MIA ,3.80,C. Sutton WR - DEN ,5.90,D. Waller TE - LV ,8.20,A. Jeffery WR - PHI ,0.00,Y. Koo K - ATL ,18.00,Steelers DEF ,18.00,A. Thielen WR - MIN ,0.00,K. Drake RB - ARI ,8.20,T. Hill WR - KC ,10.00,M. Mack RB - IND ,9.80,B. Scarbrough RB - DET ,7.50,A. Mattison RB - MIN ,7.40,92.28,Jeremy,85.80
Ricky,3,J. Allen QB - BUF ,10.74,L. McCoy RB - KC ,4.80,D. Freeman RB - ATL ,17.40,D. Adams WR - GB ,6.10,A. Cooper WR - DAL ,17.30,J. Witten TE - DAL ,6.20,C. Ridley WR - ATL ,16.10,G. Zuerlein K - LA ,4.00,Patriots DEF ,5.00,L. Bell RB - NYJ ,0.00,A. Robinson WR - CHI ,19.30,C. Hyde RB - HOU ,8.80,J. Brown WR - BUF ,4.10,D. Guice RB - WAS ,4.20,S. Darnold QB - NYJ ,17.10,87.64,Dilaun,85.30
Eli,4,D. Prescott QB - DAL ,17.46,L. Fournette RB - JAX ,7.80,A. Jones RB - GB ,28.20,J. Jones WR - ATL ,9.10,M. Gallup WR - DAL ,13.90,R. Griffin TE - NYJ ,1.30,M. Gordon RB - LAC ,16.90,D. Bailey K - MIN ,10.00,Jaguars DEF ,-3.00,M. Ryan QB - ATL ,21.32,T. Ginn WR - NO ,7.00,V. McDonald TE - PIT ,0.80,S. Watkins WR - KC ,7.00,P. Dorsett WR - NE ,0.00,N. Folk K - NE ,4.00,101.66,Jonah,114.68
Dilaun,7,C. Wentz QB - PHI ,19.90,K. Hunt RB - CLE ,13.80,A. Kamara RB - NO ,4.30,M. Evans WR - TB ,12.60,T. Lockett WR - SEA ,6.30,J. Cook TE - NO ,19.40,B. Cooks WR - LA ,0.00,H. Butker K - KC ,11.00,49ers DEF ,-2.00,T. Brady QB - NE ,10.76,A. Brown WR ,0.00,J. Winston QB - TB ,34.74,P. Barber RB - TB ,6.30,E. Engram TE - NYG ,0.00,J. Conner RB - PIT ,0.00,85.30,Ricky,87.64
Jeremy,5,A. Rodgers QB - GB ,11.40,E. Elliott RB - DAL ,22.30,J. Williams RB - GB ,2.40,M. Thomas WR - NO ,24.90,C. Godwin WR - TB ,12.60,M. Andrews TE - BAL ,1.90,M. Jones WR - DET ,5.30,M. Gay K - TB ,8.00,Panthers DEF ,-3.00,K. Cousins QB - MIN ,13.58,T. Hilton WR - IND ,0.00,D. Williams RB - KC ,0.00,T. Boyd WR - CIN ,10.70,D. Metcalf WR - SEA ,10.80,M. Crosby K - GB ,8.00,85.80,Adam,92.28
Kevin,8,P. Mahomes QB - KC ,13.92,D. Henry RB - TEN ,23.40,C. Carson RB - SEA ,10.60,K. Allen WR - LAC ,10.80,J. Landry WR - CLE ,9.60,H. Henry TE - LAC ,10.90,C. Samuel WR - CAR ,5.20,J. Tucker K - BAL ,6.00,Eagles DEF ,3.00,R. Tannehill QB - TEN ,27.54,R. Wilson QB - SEA ,10.60,M. Sanu WR - NE ,1.80,J. Williams RB - IND ,0.00,S. Michel RB - NE ,1.40,H. Renfrow WR - LV ,0.00,93.42,Max,123.86
BRyant,2,L. Jackson QB - BAL ,19.80,D. Cook RB - MIN ,14.50,A. Ekeler RB - LAC ,29.30,K. Golladay WR - DET ,14.80,D. Moore WR - CAR ,10.10,A. Hooper TE - ATL ,4.20,D. Hopkins WR - HOU ,22.70,A. Seibert K - CLE ,11.00,Cowboys DEF ,5.00,S. Diggs WR - MIN ,12.20,J. Mixon RB - CIN ,26.10,R. Jones RB - TB ,7.90,D. Chark WR - JAX ,12.00,N. Fant TE - DEN ,19.30,G. Minshew QB - JAX ,13.58,131.40,David,101.86
