Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,C. Wentz QB - PHI ,8.94,C. McCaffrey RB - CAR ,29.80,N. Chubb RB - CLE ,23.90,T. Williams WR - LV ,2.80,T. McLaurin WR - WAS ,9.70,D. Goedert TE - PHI ,4.70,M. Ingram RB - BAL ,24.30,W. Lutz K - NO ,10.00,Saints DEF ,5.00,R. Woods WR - LA ,12.70,T. Kelce TE - KC ,0.00,R. Freeman RB - DEN ,3.90,D. Samuel WR - SF ,12.00,M. Sanders RB - PHI ,10.10,D. Singletary RB - BUF ,11.90,119.14,Adam,71.22
David,10,J. Garoppolo QB - SF ,18.22,P. Lindsay RB - DEN ,7.30,J. Samuels RB - PIT ,4.70,J. Crowder WR - NYJ ,2.80,C. Kupp WR - LA ,6.50,G. Kittle TE - SF ,21.90,D. Montgomery RB - CHI ,4.10,M. Prater K - DET ,10.00,Rams DEF ,-1.00,G. Tate WR - NYG ,10.80,K. Rudolph TE - MIN ,0.00,O. Beckham WR - CLE ,17.40,J. White RB - NE ,0.40,D. Johnson RB - HOU ,3.50,J. Goff QB - LA ,4.38,74.52,Eli,81.48
Max,9,D. Brees QB - NO ,22.44,T. Gurley RB - LA ,3.40,J. Jacobs RB - LV ,4.10,J. Edelman WR - NE ,13.30,W. Fuller WR - HOU ,17.50,Z. Ertz TE - PHI ,21.10,T. Coleman RB - SF ,11.90,C. Boswell K - PIT ,10.00,Packers DEF ,-1.00,J. Howard RB - PHI ,0.00,J. Smith-Schuster WR - PIT ,0.00,M. Williams WR - LAC ,0.00,K. Murray QB - ARI ,0.00,Ravens DEF ,13.00,Vikings DEF ,0.00,102.74,Ricky,97.28
Adam,8,D. Watson QB - HOU ,18.92,B. Scarbrough RB - DET ,7.80,S. Barkley RB - NYG ,7.00,D. Parker WR - MIA ,12.10,C. Sutton WR - DEN ,3.20,J. Hollister TE - SEA ,3.20,E. Sanders WR - SF ,2.00,J. Myers K - SEA ,5.00,Steelers DEF ,12.00,A. Thielen WR - MIN ,0.00,D. Waller TE - LV ,5.60,D. Johnson RB - ARI ,0.00,K. Drake RB - ARI ,0.00,T. Hill WR - KC ,0.00,M. Mack RB - IND ,0.00,71.22,Jonah,119.14
Ricky,5,B. Mayfield QB - CLE ,23.58,L. Bell RB - NYJ ,13.30,C. Hyde RB - HOU ,6.70,D. Adams WR - GB ,15.80,A. Cooper WR - DAL ,0.00,G. Olsen TE - CAR ,6.90,C. Ridley WR - ATL ,19.00,G. Zuerlein K - LA ,6.00,Patriots DEF ,6.00,A. Robinson WR - CHI ,22.10,D. Freeman RB - ATL ,0.00,J. Brown WR - BUF ,10.90,J. Allen QB - BUF ,19.00,D. Guice RB - WAS ,4.30,M. Brown WR - BAL ,18.70,97.28,Max,102.74
Eli,2,D. Prescott QB - DAL ,6.88,L. Fournette RB - JAX ,32.40,A. Jones RB - GB ,3.80,J. Jones WR - ATL ,9.30,M. Gallup WR - DAL ,7.50,R. Griffin TE - NYJ ,8.80,T. Ginn WR - NO ,4.80,N. Folk K - NE ,7.00,Jaguars DEF ,1.00,M. Ryan QB - ATL ,7.64,V. McDonald TE - PIT ,0.60,S. Watkins WR - KC ,0.00,P. Dorsett WR - NE ,0.00,M. Gordon RB - LAC ,0.00,D. Bailey K - MIN ,0.00,81.48,David,74.52
Dilaun,6,J. Winston QB - TB ,24.32,K. Hunt RB - CLE ,11.60,A. Kamara RB - NO ,14.70,M. Evans WR - TB ,7.00,T. Lockett WR - SEA ,4.30,J. Cook TE - NO ,18.90,L. Murray RB - NO ,12.40,Y. Koo K - ATL ,10.00,49ers DEF ,11.00,T. Brady QB - NE ,11.30,A. Brown WR ,0.00,B. Cooks WR - LA ,4.30,E. Engram TE - NYG ,0.00,J. Conner RB - PIT ,0.00,H. Butker K - KC ,0.00,114.22,BRyant,136.46
Jeremy,4,A. Rodgers QB - GB ,9.46,E. Elliott RB - DAL ,14.60,J. Williams RB - GB ,11.50,M. Thomas WR - NO ,21.10,C. Godwin WR - TB ,33.90,M. Andrews TE - BAL ,5.50,M. Jones WR - DET ,7.10,M. Gay K - TB ,5.00,Panthers DEF ,3.00,K. Cousins QB - MIN ,0.00,T. Hilton WR - IND ,3.30,D. Williams RB - KC ,0.00,T. Boyd WR - CIN ,16.60,D. Metcalf WR - SEA ,5.00,M. Crosby K - GB ,0.00,111.16,Kevin,116.10
Kevin,7,R. Wilson QB - SEA ,9.50,J. Williams RB - IND ,19.60,C. Carson RB - SEA ,7.70,J. Landry WR - CLE ,31.80,H. Renfrow WR - LV ,4.60,N. Fant TE - DEN ,2.90,D. Henry RB - TEN ,28.00,J. Lambo K - JAX ,8.00,Bears DEF ,4.00,M. Sanu WR - NE ,0.00,K. Allen WR - LAC ,0.00,H. Henry TE - LAC ,0.00,C. Samuel WR - CAR ,5.40,P. Mahomes QB - KC ,0.00,S. Michel RB - NE ,8.50,116.10,Jeremy,111.16
BRyant,3,L. Jackson QB - BAL ,36.26,J. Mixon RB - CIN ,7.90,R. Jones RB - TB ,14.20,D. Hopkins WR - HOU ,24.40,D. Moore WR - CAR ,28.40,A. Hooper TE - ATL ,0.00,D. Chark WR - JAX ,8.30,A. Seibert K - CLE ,11.00,Cowboys DEF ,6.00,S. Diggs WR - MIN ,0.00,G. Everett TE - LA ,3.30,D. Cook RB - MIN ,0.00,K. Golladay WR - DET ,8.10,A. Ekeler RB - LAC ,0.00,G. Minshew QB - JAX ,0.00,136.46,Dilaun,114.22
