Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,C. Wentz QB - PHI ,21.66,C. McCaffrey RB - CAR ,26.30,N. Chubb RB - CLE ,15.10,J. Gordon WR - SEA ,11.40,R. Woods WR - LA ,7.30,T. Kelce TE - KC ,12.40,M. Ingram RB - BAL ,33.50,W. Lutz K - NO ,3.00,49ers DEF ,7.00,A. Jeffery WR - PHI ,0.00,T. Williams WR - LV ,10.40,T. McLaurin WR - WAS ,16.00,M. Sanders RB - PHI ,11.60,D. Singletary RB - BUF ,0.00,D. Thompson RB - KC ,0.80,137.66,Adam,93.24
David,9,B. Mayfield QB - CLE ,9.70,D. Johnson RB - ARI ,15.50,D. Montgomery RB - CHI ,9.60,O. Beckham WR - CLE ,8.60,C. Kupp WR - LA ,27.60,G. Kittle TE - SF ,8.70,S. Shepard WR - NYG ,23.60,M. Prater K - DET ,9.00,Rams DEF ,9.00,D. Jackson WR - PHI ,0.00,J. White RB - NE ,0.00,J. Crowder WR - NYJ ,3.50,D. Johnson RB - HOU ,3.40,J. Goff QB - LA ,14.12,K. Hunt RB - CLE ,0.00,121.30,Eli,119.24
Max,10,K. Murray QB - ARI ,17.82,T. Gurley RB - LA ,4.30,J. Jacobs RB - LV ,4.40,J. Edelman WR - NE ,15.70,J. Smith-Schuster WR - PIT ,15.60,Z. Ertz TE - PHI ,8.40,W. Fuller WR - HOU ,7.60,J. Tucker K - BAL ,4.00,Vikings DEF ,7.00,D. Brees QB - NO ,0.00,T. Burton TE - CHI ,4.00,T. Coleman RB - SF ,0.00,J. Howard RB - PHI ,9.70,N. Peterman QB - LV ,0.00,M. Williams WR - LAC ,6.00,84.82,Ricky,117.92
Adam,6,D. Watson QB - HOU ,25.84,M. Mack RB - IND ,15.80,S. Barkley RB - NYG ,5.70,E. Sanders WR - SF ,2.00,A. Thielen WR - MIN ,19.10,D. Walker TE - TEN ,9.90,R. Mostert RB - SF ,5.90,J. Slye K - CAR ,8.00,Titans DEF ,1.00,A. Green WR - CIN ,0.00,C. Keenum QB - WAS ,11.58,D. Waller TE - LV ,20.60,T. Hill WR - KC ,0.00,P. Barber RB - TB ,6.50,D. Metcalf WR - SEA ,7.70,93.24,Jonah,137.66
Ricky,8,P. Rivers QB - LAC ,19.62,L. Bell RB - NYJ ,8.30,D. Freeman RB - ATL ,11.00,D. Adams WR - GB ,7.60,A. Cooper WR - DAL ,23.80,G. Olsen TE - CAR ,22.50,C. Ridley WR - ATL ,1.10,G. Zuerlein K - LA ,10.00,Patriots DEF ,14.00,A. Peterson RB - WAS ,3.90,G. Bernard RB - CIN ,2.20,A. Robinson WR - CHI ,9.00,C. Hyde RB - HOU ,7.90,J. Brown WR - BUF ,7.50,K. Drake RB - ARI ,6.70,117.92,Max,84.82
Eli,2,D. Prescott QB - DAL ,22.54,L. Fournette RB - JAX ,12.20,A. Jones RB - GB ,14.80,J. Jones WR - ATL ,22.80,S. Watkins WR - KC ,8.90,V. McDonald TE - PIT ,1.50,P. Dorsett WR - NE ,15.50,S. Gostkowski K - NE ,6.00,Jaguars DEF ,15.00,M. Ryan QB - ATL ,22.46,T. Ginn WR - NO ,2.50,A. Brown WR ,0.00,M. Gordon RB - LAC ,0.00,M. Gallup WR - DAL ,0.00,R. Penny RB - SEA ,0.00,119.24,David,121.30
Dilaun,7,T. Brady QB - NE ,20.14,J. Conner RB - PIT ,5.70,A. Kamara RB - NO ,32.60,T. Lockett WR - SEA ,26.90,J. Ross WR - CIN ,1.20,E. Engram TE - NYG ,20.30,M. Brown WR - BAL ,5.90,K. Fairbairn K - HOU ,3.00,Cowboys DEF ,12.00,L. Fitzgerald WR - ARI ,12.10,M. Evans WR - TB ,41.00,B. Cooks WR - LA ,16.00,P. Lindsay RB - DEN ,27.00,W. Dissly TE - SEA ,15.20,Chargers DEF ,4.00,127.74,BRyant,106.18
Jeremy,4,A. Rodgers QB - GB ,13.30,E. Elliott RB - DAL ,14.90,K. Johnson RB - DET ,10.80,T. Boyd WR - CIN ,9.80,M. Thomas WR - NO ,13.90,M. Andrews TE - BAL ,3.00,T. Hilton WR - IND ,16.50,J. Elliott K - PHI ,6.00,Ravens DEF ,0.00,K. Cousins QB - MIN ,12.56,M. Jones WR - DET ,19.10,D. Williams RB - KC ,0.00,C. Godwin WR - TB ,5.50,D. Guice RB - WAS ,0.00,D. Henderson RB - LA ,0.00,88.20,Kevin,128.26
Kevin,3,P. Mahomes QB - KC ,27.86,D. Henry RB - TEN ,11.10,C. Carson RB - SEA ,3.50,K. Allen WR - LAC ,37.10,J. Landry WR - CLE ,7.70,J. Witten TE - DAL ,6.90,S. Michel RB - NE ,7.10,R. Gould K - SF ,6.00,Bears DEF ,21.00,L. McCoy RB - KC ,21.50,R. Cobb WR - DAL ,3.30,R. Wilson QB - SEA ,41.34,D. Njoku TE - CLE ,0.00,C. Samuel WR - CAR ,13.80,M. Breida RB - SF ,9.80,128.26,Jeremy,88.20
BRyant,5,L. Jackson QB - BAL ,21.28,D. Cook RB - MIN ,22.30,A. Ekeler RB - LAC ,11.60,D. Hopkins WR - HOU ,9.70,K. Golladay WR - DET ,2.70,A. Hooper TE - ATL ,21.60,S. Diggs WR - MIN ,3.00,D. Hopkins K - WAS ,3.00,Bills DEF ,11.00,C. Newton QB - CAR ,0.00,D. Robinson WR - KC ,11.80,J. Mixon RB - CIN ,16.40,C. Kirk WR - ARI ,10.90,D. Moore WR - CAR ,12.90,D. Chark WR - JAX ,15.60,106.18,Dilaun,127.74
