Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,M. Stafford QB - DET ,0.00,C. McCaffrey RB - CAR ,24.60,N. Chubb RB - CLE ,9.20,T. Williams WR - LV ,10.20,T. McLaurin WR - WAS ,8.40,T. Kelce TE - KC ,18.70,M. Ingram RB - BAL ,22.00,W. Lutz K - NO ,10.00,Saints DEF ,17.00,A. Jeffery WR - PHI ,0.00,R. Woods WR - LA ,0.00,D. Carr QB - LV ,19.78,R. Freeman RB - DEN ,5.00,M. Sanders RB - PHI ,5.70,D. Singletary RB - BUF ,8.40,120.10,Max,100.82
David,10,J. Garoppolo QB - SF ,29.66,P. Lindsay RB - DEN ,8.50,D. Montgomery RB - CHI ,5.50,O. Beckham WR - CLE ,8.00,C. Kupp WR - LA ,6.80,K. Rudolph TE - MIN ,15.20,J. White RB - NE ,7.60,M. Prater K - DET ,3.00,Rams DEF ,9.00,G. Tate WR - NYG ,0.00,J. Crowder WR - NYJ ,16.10,D. Johnson RB - HOU ,5.40,J. Goff QB - LA ,5.22,G. Kittle TE - SF ,0.00,J. Samuels RB - PIT ,13.00,93.26,Adam,72.08
Max,9,D. Brees QB - NO ,21.12,T. Gurley RB - LA ,18.80,J. Jacobs RB - LV ,11.90,J. Edelman WR - NE ,12.40,W. Fuller WR - HOU ,0.00,Z. Ertz TE - PHI ,13.90,T. Coleman RB - SF ,7.70,J. Tucker K - BAL ,11.00,Vikings DEF ,4.00,T. Burton TE - CHI ,0.00,J. Howard RB - PHI ,0.00,J. Smith-Schuster WR - PIT ,3.10,M. Williams WR - LAC ,8.60,K. Murray QB - ARI ,26.70,C. Boswell K - PIT ,1.00,100.82,Jonah,120.10
Adam,7,D. Watson QB - HOU ,3.96,K. Drake RB - ARI ,11.00,M. Mack RB - IND ,16.90,T. Hill WR - KC ,0.00,C. Sutton WR - DEN ,16.32,D. Waller TE - LV ,10.10,E. Sanders WR - SF ,4.80,Z. Gonzalez K - ARI ,8.00,Steelers DEF ,1.00,A. Green WR - CIN ,0.00,J. Gordon WR - SEA ,0.00,A. Thielen WR - MIN ,0.00,D. Johnson RB - ARI ,0.00,G. Everett TE - LA ,2.50,S. Barkley RB - NYG ,0.00,72.08,David,93.26
Ricky,5,J. Allen QB - BUF ,33.84,L. Bell RB - NYJ ,16.20,C. Hyde RB - HOU ,12.50,A. Cooper WR - DAL ,5.30,M. Brown WR - BAL ,3.30,G. Olsen TE - CAR ,8.20,C. Ridley WR - ATL ,24.30,G. Zuerlein K - LA ,5.00,Patriots DEF ,11.00,D. Adams WR - GB ,0.00,A. Robinson WR - CHI ,3.50,D. Freeman RB - ATL ,0.00,J. Brown WR - BUF ,30.20,D. Guice RB - WAS ,13.40,Colts DEF ,10.00,119.64,BRyant,111.98
Eli,2,D. Prescott QB - DAL ,31.56,M. Gordon RB - LAC ,10.50,L. Fournette RB - JAX ,9.20,J. Jones WR - ATL ,11.70,P. Dorsett WR - NE ,10.80,V. McDonald TE - PIT ,4.80,M. Gallup WR - DAL ,19.30,D. Bailey K - MIN ,3.00,Jaguars DEF ,6.00,M. Ryan QB - ATL ,16.44,T. Ginn WR - NO ,8.40,S. Watkins WR - KC ,3.60,A. Jones RB - GB ,0.00,J. Akins TE - HOU ,2.00,N. Folk K - NE ,9.00,106.86,Kevin,82.38
Dilaun,6,T. Brady QB - NE ,8.54,J. Conner RB - PIT ,2.10,A. Kamara RB - NO ,17.20,M. Evans WR - TB ,8.90,C. Kirk WR - ARI ,7.20,J. Cook TE - NO ,10.30,K. Hunt RB - CLE ,8.80,H. Butker K - KC ,6.00,49ers DEF ,14.00,L. Fitzgerald WR - ARI ,10.20,L. Murray RB - NO ,4.20,B. Cooks WR - LA ,0.00,J. Winston QB - TB ,14.82,T. Lockett WR - SEA ,0.00,E. Engram TE - NYG ,0.00,83.04,Jeremy,118.96
Jeremy,4,K. Cousins QB - MIN ,22.86,D. Williams RB - KC ,1.80,E. Elliott RB - DAL ,18.30,M. Thomas WR - NO ,21.40,C. Godwin WR - TB ,12.20,M. Andrews TE - BAL ,15.50,M. Jones WR - DET ,17.90,M. Gay K - TB ,7.00,Panthers DEF ,2.00,A. Rodgers QB - GB ,0.00,T. Hilton WR - IND ,0.00,T. Boyd WR - CIN ,1.50,J. Williams RB - GB ,0.00,D. Metcalf WR - SEA ,0.00,M. Crosby K - GB ,0.00,118.96,Dilaun,83.04
Kevin,8,P. Mahomes QB - KC ,15.18,B. Hill RB - ATL ,4.30,S. Michel RB - NE ,5.40,K. Allen WR - LAC ,17.10,J. Landry WR - CLE ,12.30,H. Henry TE - LAC ,11.90,M. Sanu WR - NE ,2.20,J. Lambo K - JAX ,1.00,Raiders DEF ,13.00,R. Wilson QB - SEA ,0.00,D. Henry RB - TEN ,0.00,C. Samuel WR - CAR ,4.50,C. Carson RB - SEA ,0.00,M. Breida RB - SF ,0.00,T. Hockenson TE - DET ,1.10,82.38,Eli,106.86
BRyant,3,L. Jackson QB - BAL ,32.78,D. Cook RB - MIN ,14.20,A. Ekeler RB - LAC ,17.20,D. Hopkins WR - HOU ,11.50,D. Moore WR - CAR ,13.50,J. Doyle TE - IND ,0.00,J. Mixon RB - CIN ,16.80,A. Seibert K - CLE ,3.00,Cowboys DEF ,3.00,S. Diggs WR - MIN ,20.60,A. Hooper TE - ATL ,0.00,K. Golladay WR - DET ,3.90,R. Jones RB - TB ,2.40,D. Chark WR - JAX ,26.40,G. Minshew QB - JAX ,0.00,111.98,Ricky,119.64
