Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,C. Wentz QB - PHI ,6.84,M. Ingram RB - BAL ,5.80,R. Freeman RB - DEN ,14.70,R. Woods WR - LA ,11.10,T. McLaurin WR - WAS ,1.60,T. Kelce TE - KC ,7.40,A. Jeffery WR - PHI ,4.80,W. Lutz K - NO ,10.00,Titans DEF ,4.00,J. Gordon WR - SEA ,0.00,C. McCaffrey RB - CAR ,0.00,A. Lazard WR - GB ,5.70,N. Chubb RB - CLE ,0.00,M. Sanders RB - PHI ,4.70,D. Singletary RB - BUF ,2.60,66.24,Jeremy,126.36
David,10,J. Garoppolo QB - SF ,6.04,D. Johnson RB - ARI ,0.20,D. Montgomery RB - CHI ,0.90,J. Crowder WR - NYJ ,4.60,C. Kupp WR - LA ,8.00,G. Kittle TE - SF ,5.30,J. White RB - NE ,9.40,A. Vinatieri K - IND ,4.00,Rams DEF ,21.00,O. Beckham WR - CLE ,0.00,D. Johnson RB - HOU ,6.60,S. Shepard WR - NYG ,0.00,J. Goff QB - LA ,25.02,W. Dissly TE - SEA ,0.00,M. Prater K - DET ,6.00,59.44,Ricky,127.78
Max,8,K. Murray QB - ARI ,6.96,T. Gurley RB - LA ,11.90,J. Jacobs RB - LV ,14.90,J. Edelman WR - NE ,10.20,W. Fuller WR - HOU ,1.10,Z. Ertz TE - PHI ,4.80,M. Williams WR - LAC ,6.70,J. Tucker K - BAL ,12.00,Vikings DEF ,3.00,D. Brees QB - NO ,0.00,T. Burton TE - CHI ,2.10,T. Coleman RB - SF ,7.10,J. Howard RB - PHI ,6.60,J. Smith-Schuster WR - PIT ,0.00,N. Peterman QB - LV ,0.00,71.56,Adam,102.72
Adam,5,D. Watson QB - HOU ,15.52,P. Lindsay RB - DEN ,3.70,S. Barkley RB - NYG ,15.50,A. Thielen WR - MIN ,9.00,T. Hill WR - KC ,14.90,G. Everett TE - LA ,13.00,M. Mack RB - IND ,7.10,Z. Gonzalez K - ARI ,9.00,49ers DEF ,15.00,G. Tate WR - NYG ,11.00,A. Green WR - CIN ,0.00,D. Waller TE - LV ,28.10,C. Sutton WR - DEN ,11.70,A. Tate WR - CIN ,8.00,J. Slye K - CAR ,0.00,102.72,Max,71.56
Ricky,3,J. Allen QB - BUF ,21.28,L. Bell RB - NYJ ,8.10,D. Freeman RB - ATL ,3.50,A. Robinson WR - CHI ,19.70,A. Cooper WR - DAL ,13.10,J. Witten TE - DAL ,5.30,J. Brown WR - BUF ,16.80,G. Zuerlein K - LA ,15.00,Patriots DEF ,25.00,P. Rivers QB - LAC ,21.16,A. Peterson RB - WAS ,6.10,D. Adams WR - GB ,0.00,C. Hyde RB - HOU ,3.50,K. Drake RB - ARI ,7.30,C. Ridley WR - ATL ,5.00,127.78,David,59.44
Eli,6,D. Prescott QB - DAL ,20.56,L. Fournette RB - JAX ,15.50,A. Jones RB - GB ,16.30,T. Ginn WR - NO ,5.80,M. Gallup WR - DAL ,4.90,J. Akins TE - HOU ,2.70,M. Gordon RB - LAC ,7.90,M. Nugent K ,7.00,Jaguars DEF ,17.00,M. Ryan QB - ATL ,2.56,J. Jones WR - ATL ,12.30,V. McDonald TE - PIT ,0.00,S. Watkins WR - KC ,0.00,P. Dorsett WR - NE ,12.10,R. Penny RB - SEA ,0.00,97.66,BRyant,110.72
Dilaun,7,T. Brady QB - NE ,11.96,F. Gore RB - BUF ,7.10,C. Edmonds RB - ARI ,34.00,B. Cooks WR - LA ,7.90,T. Lockett WR - SEA ,14.30,E. Engram TE - NYG ,1.10,L. Fitzgerald WR - ARI ,1.70,H. Butker K - KC ,12.00,Bills DEF ,11.00,M. Evans WR - TB ,0.00,K. Hunt RB - CLE ,0.00,J. Conner RB - PIT ,0.00,A. Kamara RB - NO ,0.00,M. Brown WR - BAL ,0.00,Chargers DEF ,4.00,101.06,Kevin,78.84
Jeremy,2,A. Rodgers QB - GB ,43.76,C. Thompson RB - WAS ,0.00,E. Elliott RB - DAL ,23.70,T. Boyd WR - CIN ,6.00,M. Thomas WR - NO ,17.60,M. Andrews TE - BAL ,4.90,T. Hilton WR - IND ,16.40,M. Crosby K - GB ,6.00,Saints DEF ,8.00,K. Cousins QB - MIN ,29.22,M. Jones WR - DET ,38.30,D. Williams RB - KC ,1.60,C. Godwin WR - TB ,0.00,K. Johnson RB - DET ,2.30,Panthers DEF ,0.00,126.36,Jonah,66.24
Kevin,9,P. Mahomes QB - KC ,7.24,D. Henry RB - TEN ,17.30,C. Carson RB - SEA ,8.90,K. Allen WR - LAC ,8.10,R. Anderson WR - NYJ ,1.50,H. Henry TE - LAC ,12.70,M. Breida RB - SF ,4.10,J. Lambo K - JAX ,13.00,Bears DEF ,6.00,L. McCoy RB - KC ,8.60,R. Wilson QB - SEA ,14.34,J. Landry WR - CLE ,0.00,C. Samuel WR - CAR ,0.00,S. Michel RB - NE ,21.90,Packers DEF ,4.00,78.84,Dilaun,101.06
BRyant,4,L. Jackson QB - BAL ,23.32,J. Mixon RB - CIN ,6.90,D. Cook RB - MIN ,27.40,D. Hopkins WR - HOU ,21.10,D. Chark WR - JAX ,8.80,A. Hooper TE - ATL ,12.60,K. Golladay WR - DET ,2.60,A. Seibert K - CLE ,0.00,Giants DEF ,8.00,S. Diggs WR - MIN ,17.80,D. Robinson WR - KC ,4.60,A. Ekeler RB - LAC ,22.00,C. Kirk WR - ARI ,0.00,D. Moore WR - CAR ,0.00,G. Minshew QB - JAX ,21.00,110.72,Eli,97.66
