Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,C. Wentz QB - PHI ,19.70,C. McCaffrey RB - CAR ,28.90,N. Chubb RB - CLE ,37.80,J. Gordon WR - SEA ,6.10,R. Woods WR - LA ,22.90,T. Kelce TE - KC ,12.00,M. Ingram RB - BAL ,7.60,W. Lutz K - NO ,12.00,Packers DEF ,-1.00,A. Jeffery WR - PHI ,11.30,R. Burkhead RB - NE ,1.20,T. Williams WR - LV ,11.10,T. McLaurin WR - WAS ,0.00,M. Sanders RB - PHI ,7.20,D. Singletary RB - BUF ,0.00,146.00,Ricky,112.40
David,8,J. Goff QB - LA ,20.68,D. Johnson RB - ARI ,17.90,D. Montgomery RB - CHI ,8.20,O. Beckham WR - CLE ,3.00,C. Kupp WR - LA ,22.40,W. Dissly TE - SEA ,15.20,S. Shepard WR - NYG ,13.40,M. Prater K - DET ,14.00,Rams DEF ,6.00,D. Jackson WR - PHI ,0.00,J. White RB - NE ,9.80,J. Crowder WR - NYJ ,0.00,D. Johnson RB - HOU ,8.80,G. Kittle TE - SF ,0.00,B. Mayfield QB - CLE ,15.78,120.78,Jeremy,121.78
Max,10,K. Murray QB - ARI ,16.34,T. Gurley RB - LA ,22.50,J. Jacobs RB - LV ,11.80,J. Edelman WR - NE ,5.00,J. Smith-Schuster WR - PIT ,3.00,Z. Ertz TE - PHI ,10.00,W. Fuller WR - HOU ,3.80,J. Tucker K - BAL ,5.00,Vikings DEF ,2.00,D. Brees QB - NO ,0.00,T. Burton TE - CHI ,2.60,T. Coleman RB - SF ,0.00,J. Howard RB - PHI ,31.00,N. Peterman QB - LV ,0.00,M. Williams WR - LAC ,0.00,79.44,Dilaun,94.10
Adam,9,D. Watson QB - HOU ,11.60,M. Mack RB - IND ,3.90,P. Lindsay RB - DEN ,6.50,E. Sanders WR - SF ,12.90,A. Thielen WR - MIN ,1.60,D. Waller TE - LV ,8.80,N. Agholor WR - PHI ,0.00,J. Slye K - CAR ,12.00,Titans DEF ,11.00,A. Green WR - CIN ,0.00,D. Walker TE - TEN ,0.90,T. Hill WR - KC ,0.00,P. Barber RB - TB ,7.90,S. Barkley RB - NYG ,0.00,G. Minshew QB - JAX ,16.72,68.30,Eli,72.62
Ricky,7,P. Rivers QB - LAC ,20.40,D. Freeman RB - ATL ,14.00,C. Hyde RB - HOU ,8.40,D. Adams WR - GB ,23.00,A. Cooper WR - DAL ,7.30,G. Olsen TE - CAR ,1.50,A. Peterson RB - WAS ,2.80,G. Zuerlein K - LA ,12.00,Patriots DEF ,23.00,G. Bernard RB - CIN ,3.90,L. Bell RB - NYJ ,0.00,A. Robinson WR - CHI ,11.20,J. Brown WR - BUF ,9.40,K. Drake RB - ARI ,8.80,C. Ridley WR - ATL ,4.70,112.40,Jonah,146.00
Eli,2,D. Prescott QB - DAL ,7.62,L. Fournette RB - JAX ,25.50,A. Jones RB - GB ,14.80,J. Jones WR - ATL ,7.30,S. Watkins WR - KC ,4.90,J. Akins TE - HOU ,3.60,P. Dorsett WR - NE ,2.90,S. Gostkowski K - NE ,4.00,Jaguars DEF ,2.00,M. Ryan QB - ATL ,15.68,T. Ginn WR - NO ,3.40,V. McDonald TE - PIT ,0.00,M. Gordon RB - LAC ,0.00,M. Gallup WR - DAL ,0.00,R. Penny RB - SEA ,0.00,72.62,Adam,68.30
Dilaun,6,T. Brady QB - NE ,3.70,J. Conner RB - PIT ,22.50,A. Kamara RB - NO ,10.40,M. Evans WR - TB ,16.90,T. Lockett WR - SEA ,7.10,E. Engram TE - NYG ,7.40,J. Ross WR - CIN ,5.10,H. Butker K - KC ,10.00,Chargers DEF ,11.00,L. Fitzgerald WR - ARI ,7.20,B. Cooks WR - LA ,10.10,K. Hunt RB - CLE ,0.00,W. Gallman RB - NYG ,24.80,D. Jones QB - NYG ,12.30,M. Brown WR - BAL ,4.20,94.10,Max,79.44
Jeremy,3,A. Rodgers QB - GB ,25.48,E. Elliott RB - DAL ,13.50,K. Johnson RB - DET ,14.70,T. Boyd WR - CIN ,4.80,M. Thomas WR - NO ,14.00,M. Andrews TE - BAL ,11.10,C. Godwin WR - TB ,35.20,J. Elliott K - PHI ,4.00,Ravens DEF ,-1.00,K. Cousins QB - MIN ,7.32,T. Hilton WR - IND ,0.00,M. Jones WR - DET ,9.20,D. Williams RB - KC ,0.00,D. Guice RB - WAS ,0.00,D. Henderson RB - LA ,0.00,121.78,David,120.78
Kevin,4,P. Mahomes QB - KC ,18.00,D. Henry RB - TEN ,11.30,C. Carson RB - SEA ,16.50,K. Allen WR - LAC ,7.30,C. Samuel WR - CAR ,4.80,J. Witten TE - DAL ,5.00,L. McCoy RB - KC ,15.90,A. Vinatieri K - IND ,6.00,Bears DEF ,17.00,R. Wilson QB - SEA ,14.30,J. Landry WR - CLE ,20.70,O. Howard TE - TB ,4.80,M. Breida RB - SF ,0.00,S. Michel RB - NE ,6.30,R. Gould K - SF ,0.00,101.80,BRyant,116.08
BRyant,5,L. Jackson QB - BAL ,24.48,J. Mixon RB - CIN ,8.30,D. Cook RB - MIN ,16.00,D. Hopkins WR - HOU ,4.60,D. Robinson WR - KC ,5.50,A. Hooper TE - ATL ,17.50,A. Ekeler RB - LAC ,26.70,D. Hopkins K - WAS ,3.00,Texans DEF ,10.00,C. Newton QB - CAR ,0.00,S. Diggs WR - MIN ,12.30,K. Golladay WR - DET ,21.20,C. Kirk WR - ARI ,6.30,D. Moore WR - CAR ,5.90,D. Chark WR - JAX ,6.40,116.08,Kevin,101.80
