Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,D. Lock QB - DEN ,6.62,C. McCaffrey RB - CAR ,33.50,N. Chubb RB - CLE ,22.30,R. Woods WR - LA ,3.70,D. Samuel WR - SF ,4.20,T. Kelce TE - KC ,19.70,M. Ingram RB - BAL ,23.10,W. Lutz K - NO ,10.00,Saints DEF ,5.00,P. Rivers QB - LAC ,8.28,R. Freeman RB - DEN ,4.60,C. Kirk WR - ARI ,8.10,T. McLaurin WR - WAS ,21.50,M. Sanders RB - PHI ,32.20,D. Singletary RB - BUF ,7.90,128.12,Eli,102.48
David,10,J. Garoppolo QB - SF ,12.60,J. White RB - NE ,13.70,P. Lindsay RB - DEN ,3.20,O. Beckham WR - CLE ,10.60,C. Kupp WR - LA ,13.10,G. Kittle TE - SF ,19.90,D. Montgomery RB - CHI ,5.40,M. Prater K - DET ,5.00,Rams DEF ,-4.00,G. Tate WR - NYG ,11.60,K. Rudolph TE - MIN ,6.30,J. Crowder WR - NYJ ,24.00,D. Johnson RB - HOU ,3.30,J. Goff QB - LA ,17.56,J. Samuels RB - PIT ,0.90,79.50,-,-
Max,9,D. Brees QB - NO ,28.28,T. Gurley RB - LA ,19.30,J. Howard RB - PHI ,0.00,J. Edelman WR - NE ,1.90,W. Fuller WR - HOU ,8.60,Z. Ertz TE - PHI ,14.60,T. Coleman RB - SF ,4.00,C. Boswell K - PIT ,4.00,Packers DEF ,13.00,J. Smith-Schuster WR - PIT ,0.00,M. Williams WR - LAC ,15.10,J. Jacobs RB - LV ,11.90,K. Murray QB - ARI ,16.36,Ravens DEF ,5.00,Vikings DEF ,27.00,93.68,-,-
Adam,6,D. Watson QB - HOU ,16.92,R. Mostert RB - SF ,10.40,S. Barkley RB - NYG ,28.30,T. Hill WR - KC ,21.30,D. Slayton WR - NYG ,10.10,D. Waller TE - LV ,16.20,D. Parker WR - MIA ,21.20,J. Myers K - SEA ,6.00,Steelers DEF ,6.00,A. Thielen WR - MIN ,4.50,K. Drake RB - ARI ,39.10,M. Mack RB - IND ,1.90,C. Sutton WR - DEN ,9.90,-,-,-,-,136.42,Dilaun,93.54
Ricky,3,J. Allen QB - BUF ,16.36,L. Bell RB - NYJ ,9.80,D. Freeman RB - ATL ,6.50,D. Adams WR - GB ,19.80,A. Robinson WR - CHI ,16.00,J. Witten TE - DAL ,11.60,A. Cooper WR - DAL ,2.40,G. Zuerlein K - LA ,1.00,Patriots DEF ,20.00,L. McCoy RB - KC ,1.60,C. Hyde RB - HOU ,16.40,J. Brown WR - BUF ,13.40,T. Higbee TE - LA ,17.10,S. Darnold QB - NYJ ,15.82,A. Brown WR - TEN ,21.40,103.46,BRyant,104.08
Eli,4,D. Prescott QB - DAL ,17.68,L. Fournette RB - JAX ,9.80,A. Jones RB - GB ,17.10,J. Jones WR - ATL ,31.90,M. Gallup WR - DAL ,1.10,R. Griffin TE - NYJ ,0.00,M. Gordon RB - LAC ,4.90,D. Bailey K - MIN ,15.00,Jaguars DEF ,5.00,M. Ryan QB - ATL ,19.10,T. Ginn WR - NO ,1.80,V. McDonald TE - PIT ,0.00,S. Watkins WR - KC ,8.40,P. Dorsett WR - NE ,0.00,N. Folk K - NE ,10.00,102.48,Jonah,128.12
Dilaun,7,C. Wentz QB - PHI ,21.54,K. Hunt RB - CLE ,11.60,A. Kamara RB - NO ,11.40,M. Evans WR - TB ,0.00,T. Lockett WR - SEA ,22.00,J. Cook TE - NO ,7.40,B. Cooks WR - LA ,6.60,H. Butker K - KC ,9.00,49ers DEF ,4.00,T. Brady QB - NE ,12.92,L. Murray RB - NO ,5.90,J. Winston QB - TB ,32.72,P. Barber RB - TB ,5.00,E. Engram TE - NYG ,0.00,J. Conner RB - PIT ,13.10,93.54,Adam,136.42
Jeremy,5,A. Rodgers QB - GB ,14.42,E. Elliott RB - DAL ,29.50,J. Williams RB - GB ,3.80,M. Thomas WR - NO ,24.80,C. Godwin WR - TB ,14.60,M. Andrews TE - BAL ,13.20,T. Boyd WR - CIN ,4.10,M. Gay K - TB ,8.00,Panthers DEF ,3.00,K. Cousins QB - MIN ,11.68,T. Hilton WR - IND ,4.50,M. Jones WR - DET ,0.00,D. Williams RB - KC ,0.00,D. Metcalf WR - SEA ,10.60,M. Crosby K - GB ,3.00,115.42,Kevin,106.96
Kevin,8,R. Tannehill QB - TEN ,24.16,D. Henry RB - TEN ,8.60,C. Carson RB - SEA ,26.20,K. Allen WR - LAC ,14.40,J. Landry WR - CLE ,4.80,H. Henry TE - LAC ,1.90,C. Samuel WR - CAR ,13.90,J. Tucker K - BAL ,4.00,Eagles DEF ,9.00,R. Wilson QB - SEA ,19.34,M. Sanu WR - NE ,2.30,J. Williams RB - IND ,0.00,P. Mahomes QB - KC ,22.70,S. Michel RB - NE ,10.80,H. Renfrow WR - LV ,0.00,106.96,Jeremy,115.42
BRyant,2,L. Jackson QB - BAL ,37.08,D. Cook RB - MIN ,5.80,A. Ekeler RB - LAC ,10.60,K. Golladay WR - DET ,5.90,D. Moore WR - CAR ,16.30,A. Hooper TE - ATL ,3.50,D. Hopkins WR - HOU ,14.90,A. Seibert K - CLE ,6.00,Cowboys DEF ,4.00,S. Diggs WR - MIN ,10.00,J. Mixon RB - CIN ,17.10,R. Jones RB - TB ,5.40,D. Chark WR - JAX ,0.00,N. Fant TE - DEN ,6.60,G. Minshew QB - JAX ,18.74,104.08,Ricky,103.46
