Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,C. Wentz QB - PHI ,20.54,C. McCaffrey RB - CAR ,19.70,N. Chubb RB - CLE ,26.40,J. Gordon WR - SEA ,1.20,R. Woods WR - LA ,7.60,T. Kelce TE - KC ,7.80,M. Ingram RB - BAL ,14.40,W. Lutz K - NO ,7.00,Redskins DEF ,10.00,A. Jeffery WR - PHI ,18.60,T. Williams WR - LV ,0.00,R. Freeman RB - DEN ,10.10,T. McLaurin WR - WAS ,24.00,M. Sanders RB - PHI ,16.70,D. Singletary RB - BUF ,0.00,114.64,Dilaun,103.66
David,9,J. Goff QB - LA ,1.12,J. White RB - NE ,9.00,D. Johnson RB - ARI ,25.20,O. Beckham WR - CLE ,13.10,C. Kupp WR - LA ,3.70,G. Kittle TE - SF ,14.30,J. Crowder WR - NYJ ,12.80,M. Prater K - DET ,20.00,Rams DEF ,7.00,J. Garoppolo QB - SF ,12.12,D. Johnson RB - HOU ,12.40,S. Shepard WR - NYG ,0.00,W. Dissly TE - SEA ,0.00,D. Montgomery RB - CHI ,0.00,A. Vinatieri K - IND ,0.00,106.22,Max,96.10
Max,7,K. Murray QB - ARI ,28.80,T. Coleman RB - SF ,13.10,J. Howard RB - PHI ,4.90,J. Edelman WR - NE ,15.80,W. Fuller WR - HOU ,6.90,Z. Ertz TE - PHI ,5.40,J. Smith-Schuster WR - PIT ,1.20,J. Tucker K - BAL ,11.00,Vikings DEF ,9.00,D. Brees QB - NO ,0.00,T. Burton TE - CHI ,0.00,T. Gurley RB - LA ,0.00,N. Peterman QB - LV ,0.00,M. Williams WR - LAC ,9.70,J. Jacobs RB - LV ,0.00,96.10,David,106.22
Adam,5,D. Watson QB - HOU ,29.40,P. Lindsay RB - DEN ,14.50,R. Jones RB - TB ,7.00,A. Thielen WR - MIN ,14.70,T. Hill WR - KC ,22.50,G. Everett TE - LA ,1.90,C. Sutton WR - DEN ,9.60,J. Slye K - CAR ,13.00,49ers DEF ,10.00,E. Sanders WR - SF ,0.50,A. Green WR - CIN ,0.00,D. Waller TE - LV ,0.00,M. Mack RB - IND ,0.00,A. Tate WR - CIN ,11.60,S. Barkley RB - NYG ,0.00,122.60,BRyant,97.74
Ricky,4,P. Rivers QB - LAC ,14.80,L. Bell RB - NYJ ,11.80,D. Freeman RB - ATL ,25.30,A. Cooper WR - DAL ,0.80,C. Ridley WR - ATL ,12.80,G. Olsen TE - CAR ,7.20,K. Drake RB - ARI ,10.00,G. Zuerlein K - LA ,1.00,Patriots DEF ,25.00,A. Peterson RB - WAS ,14.60,D. Adams WR - GB ,0.00,A. Robinson WR - CHI ,0.00,C. Hyde RB - HOU ,17.50,J. Brown WR - BUF ,0.00,G. Minshew QB - JAX ,4.62,108.70,Kevin,81.92
Eli,6,D. Prescott QB - DAL ,18.22,L. Fournette RB - JAX ,14.80,A. Jones RB - GB ,6.00,J. Jones WR - ATL ,14.80,M. Gallup WR - DAL ,6.80,V. McDonald TE - PIT ,1.00,M. Gordon RB - LAC ,6.30,M. Nugent K ,5.00,Jaguars DEF ,7.00,M. Ryan QB - ATL ,30.94,T. Ginn WR - NO ,5.80,S. Watkins WR - KC ,0.00,P. Dorsett WR - NE ,0.00,R. Penny RB - SEA ,0.00,J. Akins TE - HOU ,5.40,79.92,Jeremy,97.52
Dilaun,10,T. Brady QB - NE ,21.96,J. Conner RB - PIT ,27.40,A. Kamara RB - NO ,10.10,M. Evans WR - TB ,16.10,T. Lockett WR - SEA ,10.30,T. Hockenson TE - DET ,4.10,B. Cooks WR - LA ,4.70,H. Butker K - KC ,6.00,Chargers DEF ,3.00,L. Fitzgerald WR - ARI ,9.90,M. Brown RB - LA ,4.00,E. Engram TE - NYG ,0.00,K. Hunt RB - CLE ,0.00,M. Valdes-Scantling WR - GB ,6.70,M. Brown WR - BAL ,0.00,103.66,Jonah,114.64
Jeremy,2,A. Rodgers QB - GB ,18.32,C. Thompson RB - WAS ,3.00,E. Elliott RB - DAL ,23.80,T. Boyd WR - CIN ,2.50,M. Thomas WR - NO ,12.90,M. Andrews TE - BAL ,10.90,C. Godwin WR - TB ,20.10,M. Gay K - TB ,6.00,Buccaneers DEF ,0.00,K. Cousins QB - MIN ,27.32,T. Hilton WR - IND ,0.00,M. Jones WR - DET ,2.70,D. Williams RB - KC ,8.50,K. Johnson RB - DET ,13.10,D. Henderson RB - LA ,5.30,97.52,Eli,79.92
Kevin,8,P. Mahomes QB - KC ,18.82,D. Henry RB - TEN ,3.80,C. Carson RB - SEA ,23.90,K. Allen WR - LAC ,4.30,J. Landry WR - CLE ,5.10,J. Graham TE - GB ,2.70,S. Michel RB - NE ,12.30,R. Gould K - SF ,8.00,Packers DEF ,3.00,J. Cook TE - NO ,11.20,L. McCoy RB - KC ,5.40,R. Wilson QB - SEA ,28.90,C. Samuel WR - CAR ,21.80,M. Breida RB - SF ,8.30,Bears DEF ,0.00,81.92,Ricky,108.70
BRyant,3,L. Jackson QB - BAL ,30.64,J. Mixon RB - CIN ,4.90,D. Cook RB - MIN ,12.40,D. Hopkins WR - HOU ,12.00,D. Chark WR - JAX ,5.80,A. Hooper TE - ATL ,21.70,A. Ekeler RB - LAC ,4.30,A. Seibert K - CLE ,2.00,Cowboys DEF ,4.00,J. Winston QB - TB ,12.10,S. Diggs WR - MIN ,40.00,D. Robinson WR - KC ,0.00,K. Golladay WR - DET ,14.60,C. Kirk WR - ARI ,0.00,D. Moore WR - CAR ,12.10,97.74,Adam,122.60
