Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,R. Tannehill QB - TEN ,18.94,C. McCaffrey RB - CAR ,23.10,N. Chubb RB - CLE ,13.10,R. Woods WR - LA ,13.00,T. Williams WR - LV ,4.00,T. Kelce TE - KC ,17.00,M. Ingram RB - BAL ,9.40,W. Lutz K - NO ,9.00,Saints DEF ,3.00,M. Stafford QB - DET ,0.00,A. Jeffery WR - PHI ,0.00,R. Freeman RB - DEN ,0.00,T. McLaurin WR - WAS ,0.00,M. Sanders RB - PHI ,0.00,D. Singletary RB - BUF ,6.50,110.54,David,91.72
David,10,J. Garoppolo QB - SF ,10.02,J. Samuels RB - PIT ,5.50,D. Montgomery RB - CHI ,6.00,J. Crowder WR - NYJ ,16.60,C. Kupp WR - LA ,0.00,K. Rudolph TE - MIN ,17.40,O. Beckham WR - CLE ,8.20,M. Prater K - DET ,9.00,Rams DEF ,19.00,G. Tate WR - NYG ,21.50,J. White RB - NE ,0.00,D. Johnson RB - HOU ,0.00,J. Goff QB - LA ,3.72,G. Kittle TE - SF ,0.00,P. Lindsay RB - DEN ,0.00,91.72,Jonah,110.54
Max,9,K. Murray QB - ARI ,26.76,T. Coleman RB - SF ,9.20,J. Jacobs RB - LV ,17.60,J. Smith-Schuster WR - PIT ,5.90,M. Williams WR - LAC ,6.50,T. Burton TE - CHI ,0.00,T. Gurley RB - LA ,7.30,J. Tucker K - BAL ,7.00,Vikings DEF ,3.00,J. Edelman WR - NE ,0.00,D. Brees QB - NO ,11.48,Z. Ertz TE - PHI ,0.00,W. Fuller WR - HOU ,0.00,J. Howard RB - PHI ,0.00,C. Boswell K - PIT ,5.00,83.26,BRyant,126.42
Adam,7,B. Hoyer QB - IND ,6.16,D. Johnson RB - ARI ,-0.50,S. Barkley RB - NYG ,5.60,E. Sanders WR - SF ,3.40,T. Hill WR - KC ,27.50,G. Everett TE - LA ,10.80,M. Mack RB - IND ,8.70,Z. Gonzalez K - ARI ,11.00,Steelers DEF ,25.00,A. Green WR - CIN ,0.00,J. Gordon WR - SEA ,3.70,A. Thielen WR - MIN ,0.00,D. Waller TE - LV ,5.50,D. Watson QB - HOU ,0.00,C. Sutton WR - DEN ,0.00,97.66,Kevin,156.84
Ricky,5,J. Allen QB - BUF ,25.44,L. Bell RB - NYJ ,14.80,D. Freeman RB - ATL ,6.30,D. Adams WR - GB ,15.30,A. Cooper WR - DAL ,26.20,G. Olsen TE - CAR ,13.80,M. Brown WR - BAL ,16.00,G. Zuerlein K - LA ,4.00,Colts DEF ,8.00,A. Robinson WR - CHI ,11.60,C. Hyde RB - HOU ,0.00,J. Brown WR - BUF ,10.20,C. Ridley WR - ATL ,6.20,D. Guice RB - WAS ,0.00,Patriots DEF ,0.00,129.84,Jeremy,94.22
Eli,3,D. Prescott QB - DAL ,25.88,M. Gordon RB - LAC ,19.80,A. Jones RB - GB ,27.30,J. Jones WR - ATL ,9.40,S. Watkins WR - KC ,7.60,V. McDonald TE - PIT ,2.80,M. Gallup WR - DAL ,15.60,D. Bailey K - MIN ,8.00,Jaguars DEF ,0.00,M. Ryan QB - ATL ,14.58,T. Ginn WR - NO ,0.50,P. Dorsett WR - NE ,0.00,L. Fournette RB - JAX ,0.00,J. Akins TE - HOU ,0.00,N. Folk K - NE ,0.00,116.38,Dilaun,87.72
Dilaun,6,J. Winston QB - TB ,18.32,L. Murray RB - NO ,2.90,A. Kamara RB - NO ,11.40,M. Evans WR - TB ,10.20,T. Lockett WR - SEA ,4.40,J. Cook TE - NO ,10.40,L. Fitzgerald WR - ARI ,11.10,H. Butker K - KC ,14.00,Bills DEF ,5.00,T. Brady QB - NE ,0.00,B. Cooks WR - LA ,0.00,E. Engram TE - NYG ,0.00,K. Hunt RB - CLE ,10.90,J. Conner RB - PIT ,0.00,49ers DEF ,19.00,87.72,Eli,116.38
Jeremy,4,A. Rodgers QB - GB ,10.02,E. Elliott RB - DAL ,7.30,J. Williams RB - GB ,6.30,M. Thomas WR - NO ,21.70,C. Godwin WR - TB ,10.40,M. Andrews TE - BAL ,20.30,M. Jones WR - DET ,10.20,M. Crosby K - GB ,6.00,Panthers DEF ,2.00,K. Cousins QB - MIN ,19.30,T. Hilton WR - IND ,0.00,D. Fells TE - HOU ,0.00,D. Williams RB - KC ,11.40,T. Boyd WR - CIN ,9.20,D. Metcalf WR - SEA ,8.00,94.22,Ricky,129.84
Kevin,8,P. Mahomes QB - KC ,29.84,D. Henry RB - TEN ,32.10,C. Carson RB - SEA ,17.60,K. Allen WR - LAC ,12.60,J. Landry WR - CLE ,20.20,H. Henry TE - LAC ,11.00,M. Breida RB - SF ,3.50,B. Maher K ,6.00,Ravens DEF ,24.00,L. McCoy RB - KC ,0.00,R. Wilson QB - SEA ,16.58,M. Sanu WR - NE ,0.00,C. Samuel WR - CAR ,11.50,S. Michel RB - NE ,0.00,T. Hockenson TE - DET ,6.20,156.84,Adam,97.66
BRyant,2,L. Jackson QB - BAL ,33.42,D. Cook RB - MIN ,27.80,A. Ekeler RB - LAC ,11.80,S. Diggs WR - MIN ,6.40,K. Golladay WR - DET ,13.20,A. Hooper TE - ATL ,9.70,J. Mixon RB - CIN ,16.10,A. Seibert K - CLE ,7.00,Giants DEF ,1.00,D. Hopkins WR - HOU ,0.00,J. Doyle TE - IND ,11.90,R. Jones RB - TB ,18.60,D. Moore WR - CAR ,16.50,D. Chark WR - JAX ,0.00,G. Minshew QB - JAX ,0.00,126.42,Max,83.26
