Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,C. Wentz QB - PHI ,12.06,C. McCaffrey RB - CAR ,44.70,N. Chubb RB - CLE ,10.40,J. Gordon WR - SEA ,8.40,R. Woods WR - LA ,7.30,T. Kelce TE - KC ,9.00,M. Ingram RB - BAL ,11.90,W. Lutz K - NO ,7.00,Eagles DEF ,35.00,A. Jeffery WR - PHI ,8.20,T. Williams WR - LV ,0.00,R. Freeman RB - DEN ,7.70,T. McLaurin WR - WAS ,6.60,M. Sanders RB - PHI ,8.40,D. Singletary RB - BUF ,0.00,145.76,Eli,115.72
David,10,J. Goff QB - LA ,17.90,D. Johnson RB - ARI ,17.10,D. Montgomery RB - CHI ,10.10,O. Beckham WR - CLE ,4.00,C. Kupp WR - LA ,22.20,G. Kittle TE - SF ,17.80,S. Shepard WR - NYG ,7.20,A. Vinatieri K - IND ,13.00,Rams DEF ,2.00,J. White RB - NE ,10.20,J. Crowder WR - NYJ ,2.00,D. Johnson RB - HOU ,7.20,B. Mayfield QB - CLE ,-2.00,W. Dissly TE - SEA ,10.80,M. Prater K - DET ,0.00,111.30,BRyant,123.74
Max,7,K. Murray QB - ARI ,25.42,T. Gurley RB - LA ,17.20,J. Jacobs RB - LV ,27.80,J. Edelman WR - NE ,21.00,J. Smith-Schuster WR - PIT ,15.00,Z. Ertz TE - PHI ,14.20,W. Fuller WR - HOU ,46.70,J. Tucker K - BAL ,14.00,Vikings DEF ,12.00,D. Brees QB - NO ,0.00,T. Burton TE - CHI ,3.10,T. Coleman RB - SF ,15.70,J. Howard RB - PHI ,12.20,N. Peterman QB - LV ,0.00,M. Williams WR - LAC ,10.40,193.32,Kevin,82.34
Adam,8,D. Watson QB - HOU ,41.74,M. Mack RB - IND ,16.30,P. Lindsay RB - DEN ,22.70,E. Sanders WR - SF ,1.40,A. Thielen WR - MIN ,28.50,D. Waller TE - LV ,5.90,C. Sutton WR - DEN ,17.20,J. Slye K - CAR ,4.00,Titans DEF ,7.00,A. Green WR - CIN ,0.00,D. Walker TE - TEN ,1.50,J. Brissett QB - IND ,10.94,T. Hill WR - KC ,0.00,R. Jones RB - TB ,6.60,S. Barkley RB - NYG ,0.00,144.74,Jeremy,132.82
Ricky,5,P. Rivers QB - LAC ,4.14,L. Bell RB - NYJ ,12.30,D. Freeman RB - ATL ,15.50,A. Robinson WR - CHI ,25.20,A. Cooper WR - DAL ,34.10,G. Olsen TE - CAR ,0.00,C. Hyde RB - HOU ,12.00,G. Zuerlein K - LA ,11.00,Patriots DEF ,14.00,A. Peterson RB - WAS ,1.80,G. Bernard RB - CIN ,4.10,D. Adams WR - GB ,0.00,J. Brown WR - BUF ,10.00,K. Drake RB - ARI ,0.00,C. Ridley WR - ATL ,17.30,128.24,Dilaun,100.04
Eli,4,D. Prescott QB - DAL ,23.22,L. Fournette RB - JAX ,21.70,A. Jones RB - GB ,45.70,J. Jones WR - ATL ,5.70,P. Dorsett WR - NE ,0.00,J. Akins TE - HOU ,2.60,M. Gordon RB - LAC ,5.80,M. Nugent K ,9.00,Jaguars DEF ,2.00,M. Ryan QB - ATL ,31.90,T. Ginn WR - NO ,10.60,V. McDonald TE - PIT ,4.90,S. Watkins WR - KC ,0.00,M. Gallup WR - DAL ,20.80,R. Penny RB - SEA ,5.90,115.72,Jonah,145.76
Dilaun,9,T. Brady QB - NE ,23.92,J. Conner RB - PIT ,11.50,A. Kamara RB - NO ,13.92,M. Evans WR - TB ,0.00,T. Lockett WR - SEA ,12.30,E. Engram TE - NYG ,7.70,M. Brown WR - BAL ,9.70,H. Butker K - KC ,7.00,Chargers DEF ,14.00,L. Fitzgerald WR - ARI ,8.80,B. Cooks WR - LA ,6.10,K. Hunt RB - CLE ,0.00,W. Gallman RB - NYG ,1.40,M. Valdes-Scantling WR - GB ,2.30,D. Williams RB - KC ,0.00,100.04,Ricky,128.24
Jeremy,3,A. Rodgers QB - GB ,9.42,C. Thompson RB - WAS ,6.30,E. Elliott RB - DAL ,16.10,T. Boyd WR - CIN ,23.30,M. Thomas WR - NO ,35.70,M. Andrews TE - BAL ,7.00,C. Godwin WR - TB ,28.00,M. Gay K - TB ,6.00,Buccaneers DEF ,1.00,K. Cousins QB - MIN ,20.54,T. Hilton WR - IND ,5.70,M. Jones WR - DET ,0.00,D. Williams RB - KC ,5.30,K. Johnson RB - DET ,0.00,D. Henderson RB - LA ,0.00,132.82,Adam,144.74
Kevin,6,P. Mahomes QB - KC ,18.54,D. Henry RB - TEN ,13.80,C. Carson RB - SEA ,18.80,K. Allen WR - LAC ,3.80,J. Landry WR - CLE ,9.50,J. Graham TE - GB ,5.60,L. McCoy RB - KC ,1.30,R. Gould K - SF ,7.00,Bears DEF ,4.00,J. Witten TE - DAL ,4.40,R. Wilson QB - SEA ,29.92,O. Howard TE - TB ,1.50,C. Samuel WR - CAR ,5.90,M. Breida RB - SF ,26.40,S. Michel RB - NE ,19.80,82.34,Max,193.32
BRyant,2,L. Jackson QB - BAL ,11.44,J. Mixon RB - CIN ,11.40,D. Cook RB - MIN ,22.80,D. Hopkins WR - HOU ,12.30,D. Chark WR - JAX ,32.40,A. Hooper TE - ATL ,10.60,A. Ekeler RB - LAC ,14.80,A. Seibert K - CLE ,3.00,Ravens DEF ,5.00,C. Newton QB - CAR ,0.00,S. Diggs WR - MIN ,5.90,D. Robinson WR - KC ,4.60,K. Golladay WR - DET ,0.00,C. Kirk WR - ARI ,0.00,D. Moore WR - CAR ,12.10,123.74,David,111.30
