Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,R. Fitzpatrick QB - MIA ,31.66,C. McCaffrey RB - CAR ,24.80,N. Chubb RB - CLE ,4.50,T. McLaurin WR - WAS ,12.10,D. Samuel WR - SF ,13.90,T. Kelce TE - KC ,17.40,M. Ingram RB - BAL ,16.10,W. Lutz K - NO ,8.00,Seahawks DEF ,2.00,R. Woods WR - LA ,16.30,C. Kirk WR - ARI ,0.90,D. Lock QB - DEN ,12.68,M. Sanders RB - PHI ,24.10,D. Singletary RB - BUF ,5.30,Saints DEF ,6.00,130.46,BRyant,97.42
David,10,J. Garoppolo QB - SF ,10.42,J. White RB - NE ,4.90,P. Lindsay RB - DEN ,18.80,O. Beckham WR - CLE ,12.40,C. Kupp WR - LA ,11.10,G. Kittle TE - SF ,16.40,D. Montgomery RB - CHI ,6.40,M. Prater K - DET ,5.00,Rams DEF ,9.00,G. Tate WR - NYG ,12.60,K. Rudolph TE - MIN ,1.20,J. Crowder WR - NYJ ,8.00,D. Johnson RB - HOU ,0.10,J. Goff QB - LA ,20.12,J. Samuels RB - PIT ,5.90,94.42,-,-
Max,9,D. Brees QB - NO ,22.86,T. Gurley RB - LA ,16.80,J. Howard RB - PHI ,0.00,J. Edelman WR - NE ,11.70,W. Fuller WR - HOU ,2.10,Z. Ertz TE - PHI ,4.80,T. Coleman RB - SF ,3.30,C. Boswell K - PIT ,4.00,Packers DEF ,11.00,J. Smith-Schuster WR - PIT ,3.20,M. Williams WR - LAC ,6.60,J. Jacobs RB - LV ,0.00,K. Murray QB - ARI ,12.72,Ravens DEF ,4.00,Vikings DEF ,9.00,76.56,-,-
Adam,6,D. Watson QB - HOU ,9.06,M. Mack RB - IND ,17.10,S. Barkley RB - NYG ,41.90,T. Hill WR - KC ,9.70,C. Sutton WR - DEN ,6.60,D. Waller TE - LV ,5.70,D. Parker WR - MIA ,19.60,R. Gould K - SF ,10.00,Steelers DEF ,5.00,A. Thielen WR - MIN ,0.20,B. Perriman WR - TB ,13.70,R. Mostert RB - SF ,11.30,K. Drake RB - ARI ,31.90,K. Johnson RB - DET ,4.80,A. Miller WR - CHI ,0.70,124.66,Jeremy,114.64
Ricky,3,J. Allen QB - BUF ,20.62,L. Bell RB - NYJ ,11.30,D. Freeman RB - ATL ,29.20,D. Adams WR - GB ,16.10,A. Robinson WR - CHI ,8.30,J. Witten TE - DAL ,2.40,A. Cooper WR - DAL ,4.40,G. Zuerlein K - LA ,9.00,Patriots DEF ,5.00,L. McCoy RB - KC ,0.00,C. Hyde RB - HOU ,10.20,J. Brown WR - BUF ,12.10,T. Higbee TE - LA ,14.90,S. Darnold QB - NYJ ,9.62,A. Brown WR - TEN ,14.80,106.32,Eli,115.30
Eli,4,D. Prescott QB - DAL ,11.30,L. Fournette RB - JAX ,12.00,A. Jones RB - GB ,27.00,J. Jones WR - ATL ,21.60,M. Gallup WR - DAL ,12.30,V. McDonald TE - PIT ,2.40,M. Gordon RB - LAC ,19.70,D. Bailey K - MIN ,4.00,Jaguars DEF ,5.00,M. Ryan QB - ATL ,15.96,T. Ginn WR - NO ,0.00,R. Griffin TE - NYJ ,0.00,S. Watkins WR - KC ,3.80,P. Dorsett WR - NE ,0.00,N. Folk K - NE ,12.00,115.30,Ricky,106.32
Dilaun,7,C. Wentz QB - PHI ,18.96,K. Hunt RB - CLE ,6.10,A. Kamara RB - NO ,26.00,M. Evans WR - TB ,0.00,T. Lockett WR - SEA ,1.70,J. Cook TE - NO ,21.90,B. Cooks WR - LA ,11.90,H. Butker K - KC ,10.00,49ers DEF ,7.00,T. Brady QB - NE ,17.24,L. Murray RB - NO ,3.50,J. Winston QB - TB ,11.00,P. Barber RB - TB ,-0.70,E. Engram TE - NYG ,0.00,J. Conner RB - PIT ,3.20,103.56,Kevin,75.28
Jeremy,5,A. Rodgers QB - GB ,8.34,E. Elliott RB - DAL ,11.90,J. Williams RB - GB ,6.20,M. Thomas WR - NO ,25.60,C. Godwin WR - TB ,0.00,M. Andrews TE - BAL ,24.30,T. Boyd WR - CIN ,29.30,M. Gay K - TB ,10.00,Panthers DEF ,-1.00,K. Cousins QB - MIN ,6.88,T. Hilton WR - IND ,4.10,M. Jones WR - DET ,0.00,D. Williams RB - KC ,16.70,D. Metcalf WR - SEA ,0.00,M. Crosby K - GB ,9.00,114.64,Adam,124.66
Kevin,8,R. Tannehill QB - TEN ,23.68,D. Henry RB - TEN ,0.00,C. Carson RB - SEA ,6.50,K. Allen WR - LAC ,9.10,J. Landry WR - CLE ,10.90,H. Henry TE - LAC ,7.00,C. Samuel WR - CAR ,3.10,J. Tucker K - BAL ,7.00,Eagles DEF ,8.00,R. Wilson QB - SEA ,10.96,M. Sanu WR - NE ,3.90,J. Williams RB - IND ,0.00,P. Mahomes QB - KC ,25.44,S. Michel RB - NE ,10.60,H. Renfrow WR - LV ,20.20,75.28,Dilaun,103.56
BRyant,2,L. Jackson QB - BAL ,29.82,A. Peterson RB - WAS ,12.50,A. Ekeler RB - LAC ,9.40,K. Golladay WR - DET ,15.60,D. Moore WR - CAR ,0.60,A. Hooper TE - ATL ,11.70,D. Hopkins WR - HOU ,4.80,A. Seibert K - CLE ,3.00,Chiefs DEF ,10.00,S. Diggs WR - MIN ,13.20,J. Mixon RB - CIN ,8.30,D. Cook RB - MIN ,0.00,R. Jones RB - TB ,18.40,D. Chark WR - JAX ,2.80,G. Minshew QB - JAX ,14.84,97.42,Jonah,130.46
