Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,P. Rivers QB - LAC ,16.60,C. McCaffrey RB - CAR ,13.70,N. Chubb RB - CLE ,8.40,C. Kirk WR - ARI ,3.80,T. McLaurin WR - WAS ,1.80,T. Kelce TE - KC ,11.50,M. Ingram RB - BAL ,7.20,W. Lutz K - NO ,14.00,Saints DEF ,16.00,R. Woods WR - LA ,23.70,T. Williams WR - LV ,1.40,R. Freeman RB - DEN ,4.40,D. Samuel WR - SF ,13.10,M. Sanders RB - PHI ,19.00,D. Singletary RB - BUF ,17.60,93.00,Ricky,110.94
David,10,J. Garoppolo QB - SF ,9.10,P. Lindsay RB - DEN ,7.70,J. Samuels RB - PIT ,6.40,J. Crowder WR - NYJ ,1.80,C. Kupp WR - LA ,15.50,G. Kittle TE - SF ,2.40,D. Montgomery RB - CHI ,15.70,M. Prater K - DET ,8.00,Rams DEF ,18.00,G. Tate WR - NYG ,0.00,K. Rudolph TE - MIN ,13.00,O. Beckham WR - CLE ,4.40,J. White RB - NE ,33.70,D. Johnson RB - HOU ,17.50,J. Goff QB - LA ,24.96,84.60,Jeremy,104.82
Max,9,D. Brees QB - NO ,11.26,T. Gurley RB - LA ,18.00,J. Jacobs RB - LV ,10.40,J. Edelman WR - NE ,18.90,W. Fuller WR - HOU ,1.30,Z. Ertz TE - PHI ,3.90,T. Coleman RB - SF ,2.00,C. Boswell K - PIT ,8.00,Packers DEF ,10.00,J. Howard RB - PHI ,0.00,J. Smith-Schuster WR - PIT ,0.00,M. Williams WR - LAC ,14.20,K. Murray QB - ARI ,13.32,Ravens DEF ,5.00,Vikings DEF ,8.00,83.76,Dilaun,84.50
Adam,8,S. Darnold QB - NYJ ,10.46,K. Drake RB - ARI ,6.10,S. Barkley RB - NYG ,13.00,D. Parker WR - MIA ,31.40,T. Hill WR - KC ,7.60,D. Waller TE - LV ,13.50,C. Sutton WR - DEN ,21.40,Z. Gonzalez K - ARI ,1.00,Steelers DEF ,13.00,E. Sanders WR - SF ,6.10,A. Thielen WR - MIN ,0.00,D. Johnson RB - ARI ,3.40,D. Watson QB - HOU ,28.36,M. Mack RB - IND ,0.00,B. Scarbrough RB - DET ,8.30,117.46,Eli,78.70
Ricky,5,J. Allen QB - BUF ,23.54,L. McCoy RB - KC ,10.50,L. Bell RB - NYJ ,8.70,D. Adams WR - GB ,21.40,A. Cooper WR - DAL ,12.50,G. Olsen TE - CAR ,3.70,A. Robinson WR - CHI ,18.60,G. Zuerlein K - LA ,10.00,Patriots DEF ,2.00,D. Freeman RB - ATL ,8.40,C. Hyde RB - HOU ,2.70,J. Brown WR - BUF ,9.22,C. Ridley WR - ATL ,13.10,D. Guice RB - WAS ,26.70,M. Brown WR - BAL ,0.60,110.94,Jonah,93.00
Eli,2,D. Prescott QB - DAL ,22.70,L. Fournette RB - JAX ,13.60,A. Jones RB - GB ,5.10,S. Watkins WR - KC ,0.00,M. Gallup WR - DAL ,7.80,R. Griffin TE - NYJ ,5.50,M. Gordon RB - LAC ,12.00,D. Bailey K - MIN ,6.00,Jaguars DEF ,6.00,M. Ryan QB - ATL ,16.58,J. Jones WR - ATL ,0.00,T. Ginn WR - NO ,0.00,V. McDonald TE - PIT ,3.60,P. Dorsett WR - NE ,2.50,N. Folk K - NE ,0.00,78.70,Adam,117.46
Dilaun,6,C. Wentz QB - PHI ,24.40,K. Hunt RB - CLE ,15.00,A. Kamara RB - NO ,10.40,M. Evans WR - TB ,7.30,T. Lockett WR - SEA ,0.00,J. Cook TE - NO ,10.00,B. Cooks WR - LA ,3.40,H. Butker K - KC ,10.00,49ers DEF ,4.00,T. Brady QB - NE ,24.34,A. Brown WR ,0.00,L. Murray RB - NO ,0.20,J. Winston QB - TB ,10.72,E. Engram TE - NYG ,0.00,J. Conner RB - PIT ,0.00,84.50,Max,83.76
Jeremy,4,A. Rodgers QB - GB ,28.12,E. Elliott RB - DAL ,17.20,J. Williams RB - GB ,8.70,M. Thomas WR - NO ,7.80,C. Godwin WR - TB ,7.00,M. Andrews TE - BAL ,12.50,M. Jones WR - DET ,11.50,M. Gay K - TB ,8.00,Panthers DEF ,4.00,K. Cousins QB - MIN ,17.04,T. Hilton WR - IND ,0.00,D. Williams RB - KC ,0.00,T. Boyd WR - CIN ,14.40,D. Metcalf WR - SEA ,8.50,M. Crosby K - GB ,7.00,104.82,David,84.60
Kevin,7,P. Mahomes QB - KC ,19.50,D. Henry RB - TEN ,22.10,C. Carson RB - SEA ,17.40,K. Allen WR - LAC ,15.80,J. Landry WR - CLE ,10.60,H. Henry TE - LAC ,2.00,J. Williams RB - IND ,3.00,J. Tucker K - BAL ,8.00,Jets DEF ,2.00,R. Tannehill QB - TEN ,13.78,R. Wilson QB - SEA ,16.90,M. Sanu WR - NE ,2.90,C. Samuel WR - CAR ,14.50,S. Michel RB - NE ,4.50,H. Renfrow WR - LV ,0.00,100.40,BRyant,90.00
BRyant,3,L. Jackson QB - BAL ,22.30,D. Cook RB - MIN ,11.90,A. Ekeler RB - LAC ,14.70,S. Diggs WR - MIN ,7.20,D. Moore WR - CAR ,16.20,N. Fant TE - DEN ,1.00,D. Chark WR - JAX ,5.70,A. Seibert K - CLE ,7.00,Cowboys DEF ,4.00,D. Hopkins WR - HOU ,13.14,A. Hooper TE - ATL ,0.00,J. Mixon RB - CIN ,15.00,K. Golladay WR - DET ,23.80,R. Jones RB - TB ,0.80,G. Minshew QB - JAX ,10.68,90.00,Kevin,100.40
